ID,article_link,headline,is_sarcastic
1,https://www.huffingtonpost.com/entry/versace-black...,former versace store clerk sues over secret 'black?,0
2,https://www.huffingtonpost.com/entry/roseanne-revi...,the 'roseanne' revival catches up to our thorny po...,0
3,https://local.theonion.com/mom-starting-to-fear-so...,mom starting to fear son's web series closest thin...,1
4,https://politics.theonion.com/boehner-just-wants-w...,"boehner just wants wife to listen, not come up wit...",1
5,https://www.huffingtonpost.com/entry/jk-rowling-wi...,j.k. rowling wishes snape happy birthday in the mo...,0
6,https://www.huffingtonpost.com/entry/advancing-the...,advancing the world's women,0
7,https://www.huffingtonpost.com/entry/how-meat-is-g...,the fascinating case for eating lab-grown meat,0
8,https://www.huffingtonpost.com/entry/boxed-college...,"this ceo will send your kids to school, if you wor...",0
9,https://politics.theonion.com/top-snake-handler-le...,top snake handler leaves sinking huckabee campaign,1
10,https://www.huffingtonpost.com/entry/fridays-morni...,friday's morning email: inside trump's presser for...,0
11,https://www.huffingtonpost.com/entry/airline-passe...,airline passengers tackle man who rushes cockpit i...,0
12,https://www.huffingtonpost.com/entry/facebook-heal...,facebook reportedly working on healthcare features...,0
13,https://www.huffingtonpost.comhttp://www.theguardi...,north korea praises trump and urges us voters to r...,0
14,https://www.huffingtonpost.com/entry/jeffrey-lord-...,"actually, cnn's jeffrey lord has been 'indefensibl...",0
15,https://www.huffingtonpost.com/entry/barcelona-ref...,barcelona holds huge protest in support of refugee...,0
16,https://entertainment.theonion.com/nuclear-bomb-de...,nuclear bomb detonates during rehearsal for 'spide...,1
17,https://www.theonion.com/cosby-lawyer-asks-why-acc...,cosby lawyer asks why accusers didn't come forward...,1
18,https://www.theonion.com/stock-analysts-confused-f...,"stock analysts confused, frightened by boar market",1
19,https://www.huffingtonpost.com/entry/bloomberg-phi...,bloomberg's program to build better cities just go...,0
20,https://www.huffingtonpost.com/entry/craig-hicks-i...,craig hicks indicted,0
21,https://local.theonion.com/courtroom-sketch-artist...,courtroom sketch artist has clear manga influences,1
22,https://politics.theonion.com/trump-assures-nation...,trump assures nation that decision for syrian airs...,1
23,https://www.huffingtonpost.com/entry/qatar-dutch-w...,qatar deporting dutch woman who reported she was d...,0
24,https://www.huffingtonpost.comhttp://pubx.co/dnWZe...,this is why you shouldn't go to the circus,0
25,https://www.huffingtonpost.com/entry/ted-cruz-repu...,ted cruz hits the panic button: 'we could lose bot...,0
26,https://www.huffingtonpost.com/entry/why-writers-m...,why writers must plan to be surprised,0
27,https://www.huffingtonpost.com/entry/obama-veteran...,obama visits arlington national cemetery to honor ...,0
28,https://local.theonion.com/ex-con-back-behind-bar-...,ex-con back behind bar,1
29,https://www.theonion.com/after-careful-considerati...,"after careful consideration, bush recommends oil d...",1
30,https://www.huffingtonpost.com/entry/remembrance-i...,remembrance is the beginning of the task,0
31,https://www.huffingtonpost.com/entry/nemtsov-killi...,allies: islamist motive for killing nemtsov is non...,0
32,https://www.huffingtonpost.com/entry/gillian-jacob...,gillian jacobs on what it's like to kiss adam brod...,0
33,https://www.huffingtonpost.com/entry/uber-repay-ny...,uber vows to repay nyc drivers 'tens of millions' ...,0
34,https://www.huffingtonpost.com/entry/apple-may-hav...,apple may have poached electric motorcycle company...,0
35,https://www.huffingtonpost.com/entry/drug-resistan...,"drug-resistant bacteria often lurk in children's, ...",0
36,https://www.huffingtonpost.com/entry/if-you-see-a-...,if you see a muslim at the airport,0
37,https://www.theonion.com/giant-altoid-heading-towa...,giant altoid heading toward earth,1
38,https://www.huffingtonpost.com/entry/moana-box-off...,'moana' sails straight to the top of the box offic...,0
39,https://www.huffingtonpost.com/entry/bud-selig-bas...,selig counted money while baseball lost the next g...,0
40,https://entertainment.theonion.com/robin-williams-...,robin williams inflicted on holiday moviegoers for...,1
41,https://www.huffingtonpost.com/entry/devin-nunes-v...,devin nunes vows to 'never' reveal source of surve...,0
42,https://www.huffingtonpost.com/entry/scott-longert...,scott used to stop breathing nearly 40 times an ho...,0
43,https://local.theonion.com/rescuers-heroically-hel...,rescuers heroically help beached garbage back into...,1
44,https://www.huffingtonpost.com/entry/medical-worke...,medics drop soccer player from stretcher; he's tic...,0
45,https://www.huffingtonpost.com/entry/give-the-gift...,give the gift of play this holiday season,0
46,https://www.theonion.com/christian-bale-visits-sik...,christian bale visits sikh temple victims,1
47,https://www.huffingtonpost.com/entry/sean-spicer-m...,spicer denies that ending maternity care guarantee...,0
48,https://www.theonion.com/right-to-live-life-in-com...,"'right to live life in complete, stunned horror,' ...",1
49,https://www.theonion.com/nasa-now-almost-positive-...,nasa now almost positive mars is rocky,1
50,https://local.theonion.com/monster-undeterred-by-n...,monster undeterred by night-light,1
51,https://www.huffingtonpost.com/entry/diy-sports-eq...,diy: sports equipment closet,0
52,https://www.huffingtonpost.com/entry/nyc-concert-s...,"1 dead, 3 injured in shooting at t.i. concert in n...",0
53,https://local.theonion.com/longtime-teacher-retire...,longtime teacher retires without changing a single...,1
54,https://www.huffingtonpost.com/entry/donald-trump-...,donald trump heading for a series of wins in the n...,0
55,https://www.huffingtonpost.comhttp://www.wsj.com/a...,donald trump wouldn't have had the ready cash to s...,0
56,https://entertainment.theonion.com/new-star-wars-f...,new 'star wars' film once again disappoints die-ha...,1
57,https://local.theonion.com/bats-shooed-out-of-nati...,bats shooed out of nation's waterslide tunnels in ...,1
58,https://www.theonion.com/mobile-news-crew-reports-...,mobile news crew reports on own van breaking down,1
59,https://www.huffingtonpost.com/entry/syria-humanit...,un rights chief calls humanitarian situation in sy...,0
60,https://www.huffingtonpost.com/entry/track-santa-o...,how to track santa claus' flight around the world ...,0
61,https://politics.theonion.com/obama-has-colorado-a...,obama has colorado appraised,1
62,https://entertainment.theonion.com/trouble-again-i...,trouble again in tv's africa,1
63,https://www.theonion.com/brita-unveils-new-in-thro...,brita unveils new in-throat water filters,1
64,https://entertainment.theonion.com/report-john-gri...,report: john grisham slowly but surely climbing li...,1
65,https://www.theonion.com/ghost-cant-make-a-simple-...,ghost can't make a simple cup of coffee without ev...,1
66,https://local.theonion.com/tupperware-will-never-t...,tupperware will never truly recover from red curry...,1
67,https://www.huffingtonpost.com/entry/one-of-the-pl...,one of the planet's most powerful forces for chang...,0
68,https://www.huffingtonpost.com/entry/draymond-gree...,how does draymond green take his game to the next ...,0
69,https://local.theonion.com/area-woman-said-sorry-1...,area woman said 'sorry' 118 times yesterday,1
70,https://www.huffingtonpost.com/entry/ryan-lochte-a...,ryan lochte apologizes for behavior in rio,0
71,https://www.theonion.com/north-dakota-not-heard-fr...,north dakota not heard from in 48 hours,1
72,https://www.huffingtonpost.com/entry/4-lessons-pri...,4 lessons prison taught me about power and control,0
73,https://www.theonion.com/sick-fucks-line-up-to-gap...,sick fucks line up to gape at dead body,1
74,https://www.huffingtonpost.com/entry/muslim-frater...,what is america's first muslim fraternity really l...,0
75,https://www.huffingtonpost.com/entry/the-vicious-k...,"the vicious knot of syria, the untangling process ...",0
76,https://www.huffingtonpost.com/entry/peter-defazio...,this congressman thinks we can fix the economy by ...,0
77,https://www.theonion.com/breast-implants-found-to-...,breast implants found to cause problems in laborat...,1
78,https://www.huffingtonpost.com/entry/trump-strikes...,trump orders strikes on syria in retaliation for c...,0
79,https://www.theonion.com/ceos-funeral-a-networking...,ceo's funeral a networking dream,1
80,https://www.huffingtonpost.com/entry/year-round-sc...,year-round schooling: how it would help minority s...,0
81,https://www.huffingtonpost.com/entry/zen-teachers-...,90 zen teachers pledge to change culture that fost...,0
82,https://www.huffingtonpost.com/entry/substantiated...,nypd weighs allowing chokeholds following eric gar...,0
83,https://www.huffingtonpost.com/entry/versace-black...,former versace store clerk sues over secret 'black?,0
84,https://www.huffingtonpost.com/entry/roseanne-revi...,the 'roseanne' revival catches up to our thorny po...,0
85,https://local.theonion.com/mom-starting-to-fear-so...,mom starting to fear son's web series closest thin...,1
86,https://politics.theonion.com/boehner-just-wants-w...,"boehner just wants wife to listen, not come up wit...",1
87,https://www.huffingtonpost.com/entry/jk-rowling-wi...,j.k. rowling wishes snape happy birthday in the mo...,0
